Date,Open,High,Low,Close,Adj Close,Volume
2018-04-05,252.600006,261.899994,250.000000,259.299988,259.299988,22879274
2018-04-06,259.649994,261.450012,254.850006,259.700012,259.700012,24868860
2018-04-09,260.649994,262.750000,257.600006,260.649994,260.649994,20208874
2018-04-10,261.100006,265.000000,258.500000,263.299988,263.299988,21201141
2018-04-11,263.000000,263.000000,256.299988,257.049988,257.049988,14885838
2018-04-12,257.500000,257.500000,252.250000,253.800003,253.800003,18660913
2018-04-13,254.000000,255.949997,249.699997,250.949997,250.949997,25654020
2018-04-16,249.350006,251.300003,247.100006,249.000000,249.000000,16408377
2018-04-17,251.399994,252.500000,246.600006,248.149994,248.149994,15922452
2018-04-18,249.500000,249.899994,245.300003,246.449997,246.449997,16142387
2018-04-19,247.100006,248.449997,245.199997,246.149994,246.149994,13166927
2018-04-20,245.850006,245.850006,239.500000,241.199997,241.199997,15546939
2018-04-23,241.899994,244.850006,239.300003,242.449997,242.449997,12111837
2018-04-24,242.000000,243.399994,239.600006,240.600006,240.600006,9486349
2018-04-25,239.699997,240.750000,236.750000,237.199997,237.199997,13124853
2018-04-26,238.399994,238.800003,232.500000,233.199997,233.199997,24495144
2018-04-27,233.250000,245.800003,233.250000,242.600006,242.600006,31401889
2018-04-30,244.800003,249.699997,244.500000,246.399994,246.399994,17263193
2018-05-02,245.899994,246.300003,239.750000,241.000000,241.000000,12887066
2018-05-03,240.949997,243.399994,238.750000,241.899994,241.899994,12939642
2018-05-04,243.500000,243.899994,240.350006,241.949997,241.949997,12777310
2018-05-07,242.449997,248.199997,242.050003,246.500000,246.500000,15122614
2018-05-08,248.000000,252.600006,244.600006,250.050003,250.050003,23293920
2018-05-09,249.800003,249.800003,246.300003,248.000000,248.000000,11429823
2018-05-10,248.250000,250.199997,246.300003,247.949997,247.949997,13160897
2018-05-11,247.600006,251.600006,246.050003,250.350006,250.350006,11958589
